country,poverty
Belize,13.92
Canada,0.25
Costa Rica,1.01
Dominican Republic,0.57
El Salvador,1.25
Guatemala,8.78
Haiti,24.49
Honduras,14.78
Jamaica,1.66
Mexico,1.73
Nicaragua,3.41
Panama,1.22
Trinidad and Tobago,3.2
United States,1
