country,poverty
Argentina,1.46
Brazil,4.61
Chile,0.29
Colombia,4.94
Ecuador,3.58
Guyana,11.81
Paraguay,0.95
Peru,2.19
Suriname,21.13
Uruguay,41.35
Venezuela,6.68
